jnt_id,name,type,qpos_adr,dof_adr,ctrl_id,range_lo,range_hi,kp,kv,m_eff,chain,body,parent_body
0,floating_base_joint,free,0,0,,,,,,,other,pelvis,world
1,left_hip_pitch_joint,hinge,7,6,0,-2.5307,2.8798,500.0,43.01068275990197,0.9249594157364641,left_leg,left_hip_pitch_link,pelvis
2,left_hip_roll_joint,hinge,8,7,1,-0.5236,2.9671,500.0,39.58520583750572,0.7834942605988484,left_leg,left_hip_roll_link,left_hip_pitch_link
3,left_hip_yaw_joint,hinge,9,8,2,-2.7576,2.7576,500.0,9.831503737481295,0.04832923287005434,left_leg,left_hip_yaw_link,left_hip_roll_link
4,left_knee_joint,hinge,10,9,3,-0.087267,2.8798,500.0,15.847010682643829,0.1255638737879138,left_leg,left_knee_link,left_hip_yaw_link
5,left_ankle_pitch_joint,hinge,11,10,4,-0.87267,0.5236,500.0,5.055168252967317,0.01277736303290432,left_leg,left_ankle_pitch_link,left_knee_link
6,left_ankle_roll_joint,hinge,12,11,5,-0.2618,0.2618,500.0,4.557878078967008,0.01038712629136399,left_leg,left_ankle_roll_link,left_ankle_pitch_link
7,right_hip_pitch_joint,hinge,13,12,6,-2.5307,2.8798,500.0,43.01068317743058,0.9249594336946548,right_leg,right_hip_pitch_link,pelvis
8,right_hip_roll_joint,hinge,14,13,7,-2.9671,0.5236,500.0,39.58598368471192,0.7835250521431392,right_leg,right_hip_roll_link,right_hip_pitch_link
9,right_hip_yaw_joint,hinge,15,14,8,-2.7576,2.7576,500.0,9.828373554924806,0.04829846336757263,right_leg,right_hip_yaw_link,right_hip_roll_link
10,right_knee_joint,hinge,16,15,9,-0.087267,2.8798,500.0,15.847011815866386,0.12556389174610444,right_leg,right_knee_link,right_hip_yaw_link
11,right_ankle_pitch_joint,hinge,17,16,10,-0.87267,0.5236,500.0,5.055168252967317,0.01277736303290432,right_leg,right_ankle_pitch_link,right_knee_link
12,right_ankle_roll_joint,hinge,18,17,11,-0.2618,0.2618,500.0,4.557878078966998,0.010387126291363945,right_leg,right_ankle_roll_link,right_ankle_pitch_link
13,waist_yaw_joint,hinge,19,18,12,-2.618,2.618,500.0,23.286487568511347,0.2711302516392167,waist,waist_yaw_link,pelvis
14,waist_roll_joint,hinge,20,19,13,-0.52,0.52,500.0,37.34008240801738,0.6971408771187645,waist,waist_roll_link,waist_yaw_link
15,waist_pitch_joint,hinge,21,20,14,-0.52,0.52,500.0,35.21624688342399,0.620092022277135,waist,torso_link,waist_roll_link
16,left_shoulder_pitch_joint,hinge,22,21,15,-3.0892,2.6704,500.0,16.725336916240693,0.13986844748088184,left_arm,left_shoulder_pitch_link,torso_link
17,left_shoulder_roll_joint,hinge,23,22,16,-1.5882,2.2515,500.0,13.493619374074822,0.09103888190620368,left_arm,left_shoulder_roll_link,left_shoulder_pitch_link
18,left_shoulder_yaw_joint,hinge,24,23,17,-2.618,2.618,500.0,10.118862578761357,0.05119568994392847,left_arm,left_shoulder_yaw_link,left_shoulder_roll_link
19,left_elbow_joint,hinge,25,24,18,-1.0472,2.0944,500.0,9.429120019173435,0.04445415216798863,left_arm,left_elbow_link,left_shoulder_yaw_link
20,left_wrist_roll_joint,hinge,26,25,19,-1.97222,1.97222,500.0,4.553320566666127,0.010366364091412368,left_arm,left_wrist_roll_link,left_elbow_link
21,left_wrist_pitch_joint,hinge,27,26,20,-1.61443,1.61443,500.0,5.441400918164701,0.014804421976101828,left_arm,left_wrist_pitch_link,left_wrist_roll_link
22,left_wrist_yaw_joint,hinge,28,27,21,-1.61443,1.61443,500.0,4.865614133129616,0.011837100446255331,left_arm,left_wrist_yaw_link,left_wrist_pitch_link
23,right_shoulder_pitch_joint,hinge,29,28,22,-3.0892,2.6704,500.0,16.7253369162407,0.13986844748088198,right_arm,right_shoulder_pitch_link,torso_link
24,right_shoulder_roll_joint,hinge,30,29,23,-2.2515,1.5882,500.0,13.49361937407482,0.09103888190620367,right_arm,right_shoulder_roll_link,right_shoulder_pitch_link
25,right_shoulder_yaw_joint,hinge,31,30,24,-2.618,2.618,500.0,10.118862578761355,0.05119568994392845,right_arm,right_shoulder_yaw_link,right_shoulder_roll_link
26,right_elbow_joint,hinge,32,31,25,-1.0472,2.0944,500.0,9.429120019173435,0.04445415216798863,right_arm,right_elbow_link,right_shoulder_yaw_link
27,right_wrist_roll_joint,hinge,33,32,26,-1.97222,1.97222,500.0,4.553320566666128,0.010366364091412374,right_arm,right_wrist_roll_link,right_elbow_link
28,right_wrist_pitch_joint,hinge,34,33,27,-1.61443,1.61443,500.0,5.441400918164702,0.014804421976101831,right_arm,right_wrist_pitch_link,right_wrist_roll_link
29,right_wrist_yaw_joint,hinge,35,34,28,-1.61443,1.61443,500.0,4.8656141331296165,0.011837100446255334,right_arm,right_wrist_yaw_link,right_wrist_pitch_link
