method,nfe,energy,sw1,sec
fm-1rect,1,0.8828628063201904,0.850944995880127,0.001320942072197795
fm-1rect,2,0.17964661121368408,0.3845921754837036,0.0023239979054778814
fm-1rect,4,0.03998076915740967,0.1857338547706604,0.004183807875961065
fm-1rect,10,0.00563359260559082,0.06831437349319458,0.017189223086461425
fm-1rect,20,0.002041935920715332,0.0400308296084404,0.01925720600411296
fm-1rect,50,0.0010478496551513672,0.027762334793806076,0.04770766803994775
fm-1rect,250,0.0008473396301269531,0.024194922298192978,0.23987225792370737
fm-1rect,1000,0.0008375644683837891,0.024041051045060158,0.959660743130371
fm-2rect,1,0.0009100437164306641,0.025399331003427505,0.001679407199844718
fm-2rect,2,0.0009140968322753906,0.025432264432311058,0.0026835689786821604
fm-2rect,4,0.0009095668792724609,0.025354208424687386,0.0050303630996495485
fm-2rect,10,0.0009036064147949219,0.025233430787920952,0.013881081016734242
fm-2rect,20,0.0008977651596069336,0.025108415633440018,0.024186454014852643
fm-2rect,50,0.0008944272994995117,0.02501046471297741,0.05987227591685951
fm-2rect,250,0.0008876323699951172,0.024898862466216087,0.2967351549305022
fm-2rect,1000,0.0008867979049682617,0.024881135672330856,1.184815736953169
fm-3rect,1,0.0008976459503173828,0.025264646857976913,0.0014235558919608593
fm-3rect,2,0.0008981227874755859,0.025253688916563988,0.0023585581220686436
fm-3rect,4,0.0008966922760009766,0.02521028369665146,0.004518782952800393
fm-3rect,10,0.0008958578109741211,0.025160564109683037,0.010766267077997327
fm-3rect,20,0.0008938312530517578,0.025104224681854248,0.02139553497545421
fm-3rect,50,0.00089263916015625,0.025062663480639458,0.05332472291775048
fm-3rect,250,0.0008900165557861328,0.025008445605635643,0.2629503810312599
fm-3rect,1000,0.0008897781372070312,0.024997791275382042,1.0901227600406855
