chunk_size,n_action_steps,f2_hz,latency_budget_ms,worst_reaction_ms,inference_rate_hz,balance_threshold_ms,safe_for_whole_body_balance,ratio_vs_threshold
100,1,20,50.000,50.000,20,200,1,0.2500
100,2,20,100.000,100.000,10,200,1,0.5000
100,5,20,250.000,250.000,4,200,0,1.2500
100,6,20,300.000,300.000,3.33333,200,0,1.5000
100,10,20,500.000,500.000,2,200,0,2.5000
100,20,20,1000.000,1000.000,1,200,0,5.0000
100,25,20,1250.000,1250.000,0.8,200,0,6.2500
100,50,20,2500.000,2500.000,0.4,200,0,12.5000
100,75,20,3750.000,3750.000,0.266667,200,0,18.7500
100,100,20,5000.000,5000.000,0.2,200,0,25.0000
100,1,30,33.333,33.333,30,200,1,0.1667
100,2,30,66.667,66.667,15,200,1,0.3333
100,5,30,166.667,166.667,6,200,1,0.8333
100,6,30,200.000,200.000,5,200,1,1.0000
100,10,30,333.333,333.333,3,200,0,1.6667
100,20,30,666.667,666.667,1.5,200,0,3.3333
100,25,30,833.333,833.333,1.2,200,0,4.1667
100,50,30,1666.667,1666.667,0.6,200,0,8.3333
100,75,30,2500.000,2500.000,0.4,200,0,12.5000
100,100,30,3333.333,3333.333,0.3,200,0,16.6667
100,1,50,20.000,20.000,50,200,1,0.1000
100,2,50,40.000,40.000,25,200,1,0.2000
100,5,50,100.000,100.000,10,200,1,0.5000
100,6,50,120.000,120.000,8.33333,200,1,0.6000
100,10,50,200.000,200.000,5,200,1,1.0000
100,20,50,400.000,400.000,2.5,200,0,2.0000
100,25,50,500.000,500.000,2,200,0,2.5000
100,50,50,1000.000,1000.000,1,200,0,5.0000
100,75,50,1500.000,1500.000,0.666667,200,0,7.5000
100,100,50,2000.000,2000.000,0.5,200,0,10.0000
100,1,100,10.000,10.000,100,200,1,0.0500
100,2,100,20.000,20.000,50,200,1,0.1000
100,5,100,50.000,50.000,20,200,1,0.2500
100,6,100,60.000,60.000,16.6667,200,1,0.3000
100,10,100,100.000,100.000,10,200,1,0.5000
100,20,100,200.000,200.000,5,200,1,1.0000
100,25,100,250.000,250.000,4,200,0,1.2500
100,50,100,500.000,500.000,2,200,0,2.5000
100,75,100,750.000,750.000,1.33333,200,0,3.7500
100,100,100,1000.000,1000.000,1,200,0,5.0000
