m,n,w_oldest,w_newest,ratio_oldest_over_newest,S_direct,S_closed_form,n_eff,S_equals_n_eff
-0.1,10,1,2.4596,0.40657,16.338,16.338,6.64253,0
-0.1,25,1,11.0232,0.090718,106.327,106.327,9.64576,0
-0.1,50,1,134.29,0.00744658,1401.65,1401.65,10.4375,0
-0.1,100,1,19930.4,5.01747e-05,209425,209425,10.5079,0
-0.01,10,1,1.09417,0.913931,10.4646,10.4646,9.56392,0
-0.01,25,1,1.27125,0.786628,28.2608,28.2608,22.2307,0
-0.01,50,1,1.63232,0.612626,64.5483,64.5483,39.544,0
-0.01,100,1,2.69123,0.371577,170.97,170.97,63.5286,0
0,10,1,1,1,10,10,10,1
0,25,1,1,1,25,25,25,1
0,50,1,1,1,50,50,50,1
0,100,1,1,1,100,100,100,1
0.01,10,1,0.913931,1.09417,9.56392,9.56392,9.56392,1
0.01,25,1,0.786628,1.27125,22.2307,22.2307,22.2307,1
0.01,50,1,0.612626,1.63232,39.544,39.544,39.544,1
0.01,100,1,0.371577,2.69123,63.5286,63.5286,63.5286,1
0.1,10,1,0.40657,2.4596,6.64253,6.64253,6.64253,1
0.1,25,1,0.090718,11.0232,9.64576,9.64576,9.64576,1
0.1,50,1,0.00744658,134.29,10.4375,10.4375,10.4375,1
0.1,100,1,5.01747e-05,19930.4,10.5079,10.5079,10.5079,1
