mode,chunk_k,n_action_steps,decisions,eps_k,mean_cost,std_cost,sem_cost,cost_per_step,fail_rate,mean_abs_dev_ok,bound_s33
compare:① 단일 스텝 BC,1,1,400,0.00168,124.969,138.617,19.6034,0.312423,0.54,0.0326534,134.4
compare:② 청크 개방루프 완주 (LeRobot 기본값),100,100,4,0.0033,115.051,48.3642,6.83973,0.287627,0,0.288061,2.64
compare:③ receding horizon (docstring 예시),100,50,8,0.0033,85.4007,31.2844,4.42429,0.213502,0.04,0.202184,2.64
compare:③ receding horizon (짧게),100,10,40,0.0033,76.4376,93.9617,13.2882,0.191094,0.16,0.0987268,2.64
sweep_open_loop,1,1,400,0.00168,124.969,138.617,19.6034,0.312423,0.54,0.0326534,134.4
sweep_open_loop,2,2,200,0.00175456,88.2473,123.481,17.4628,0.220618,0.32,0.0444537,70.1823
sweep_open_loop,5,5,80,0.00190249,56.7392,86.3469,12.2113,0.141848,0.12,0.0694504,30.4399
sweep_open_loop,10,10,40,0.00206921,66.0353,76.6915,10.8458,0.165088,0.12,0.100176,16.5537
sweep_open_loop,20,20,20,0.00230498,55.0479,13.828,1.95558,0.13762,0.02,0.135102,9.21994
sweep_open_loop,50,50,8,0.00277279,95.3143,35.2918,4.99102,0.238286,0.02,0.229392,4.43647
sweep_open_loop,100,100,4,0.0033,115.051,48.3642,6.83973,0.287627,0,0.288061,2.64
sweep_receding_horizon,1,1,400,0.00168,124.969,138.617,19.6034,0.312423,0.54,0.0326534,134.4
sweep_receding_horizon,2,1,400,0.00175456,124.969,138.617,19.6034,0.312423,0.54,0.0326534,70.1823
sweep_receding_horizon,5,1,400,0.00190249,108.329,139.793,19.7696,0.270823,0.42,0.0321701,30.4399
sweep_receding_horizon,10,2,200,0.00206921,88.0779,121.588,17.1952,0.220195,0.3,0.0446501,16.5537
sweep_receding_horizon,20,5,80,0.00230498,48.47,67.0971,9.48897,0.121175,0.12,0.0687245,9.21994
sweep_receding_horizon,50,12,34,0.00277279,52.7087,39.3572,5.56594,0.131772,0.06,0.108044,4.43647
sweep_receding_horizon,100,25,16,0.0033,65.0158,14.7726,2.08917,0.16254,0,0.16254,2.64
