tag,step,total,l1_loss,kld_loss,kld_times_beta,kl_share
CVAE (use_vae=True),1,82.5588,0.738761,8.182,81.82,0.991052
CVAE (use_vae=True),300,1.65007,0.353933,0.129614,1.29614,0.785504
CVAE (use_vae=True),600,0.71634,0.325051,0.0391288,0.391288,0.546233
CVAE (use_vae=True),900,0.54099,0.355394,0.0185595,0.185595,0.343066
CVAE (use_vae=True),1200,0.468937,0.332024,0.0136914,0.136914,0.291966
CVAE (use_vae=True),1500,0.44161,0.343743,0.00978669,0.0978669,0.221614
CVAE (use_vae=True),1800,0.393729,0.333627,0.00601023,0.0601023,0.152649
CVAE (use_vae=True),2100,0.389599,0.335482,0.00541168,0.0541168,0.138904
CVAE (use_vae=True),2400,0.375132,0.329826,0.00453064,0.0453064,0.120775
CVAE (use_vae=True),2700,0.385409,0.350939,0.00344696,0.0344696,0.0894366
CVAE (use_vae=True),3000,0.353517,0.328712,0.00248053,0.0248053,0.0701672
순수 l1 회귀 (use_vae=False),1,0.745965,0.745965,0,0,0
순수 l1 회귀 (use_vae=False),300,0.361239,0.361239,0,0,0
순수 l1 회귀 (use_vae=False),600,0.338562,0.338562,0,0,0
순수 l1 회귀 (use_vae=False),900,0.355056,0.355056,0,0,0
순수 l1 회귀 (use_vae=False),1200,0.314464,0.314464,0,0,0
순수 l1 회귀 (use_vae=False),1500,0.337727,0.337727,0,0,0
순수 l1 회귀 (use_vae=False),1800,0.340019,0.340019,0,0,0
순수 l1 회귀 (use_vae=False),2100,0.329749,0.329749,0,0,0
순수 l1 회귀 (use_vae=False),2400,0.329659,0.329659,0,0,0
순수 l1 회귀 (use_vae=False),2700,0.350184,0.350184,0,0,0
순수 l1 회귀 (use_vae=False),3000,0.289713,0.289713,0,0,0
